two4,4289.3
two5,4973.6
two1,5107.1
two2,6803.5
ten5,8359.5
ten2,8461.6
four2,8907.3
seven3,9183.3
three3,9260.9
ten4,9353.6
nine4,9438.6
nine5,9502.8
four3,9619
ten3,9789.1
three5,9854.7
seven4,9869.1
four5,9906.3
two3,10007
four4,10054
seven5,10082
three2,10247
ten1,10331
three1,10381
seven2,10427
five4,10521
nine2,10542
five5,10572
five3,10656
nine3,10825
eight3,10842
three4,10897
five2,10965
one2,10975
one4,11086
five1,11175
eight4,11343
eight2,11593
one5,11952
six5,12154
seven1,12226
one1,12290
eight1,12457
one3,12501
four1,13003
nine1,13193
eight5,13466
six1,13894
six2,14875
six3,15808
six4,15818
